Feature,Importance
prev_close,0.5208303
close,0.4608017
ma20_gt_ma50,0.0023293744
dist_from_ma50,0.0016221924
bb_width,0.0014940682
ma5_gt_ma20,0.0013728146
month_sin,0.0013247182
prev_volume,0.0010878753
month_cos,0.0009486509
dist_from_ma20,0.0008181395
daily_range_pct,0.0006904183
momentum_10d,0.00061919034
prev_return,0.00060439634
relative_volume,0.00060437823
momentum_5d,0.00059046905
return,0.00056680554
volume_change,0.00049893843
dist_from_ma5,0.0004566434
momentum_3d,0.0004337331
price_position,0.0004226569
day_of_week_sin,0.00041734264
rsi_14,0.00040269847
bb_position,0.00037667996
day_of_week_cos,0.0003690581
price_change_pct,0.00031681053
